latent dim = 256, alpha_vpo=2.0


machine_id,auc,fc1,pa_k_auc
machine-1-1,0.888648698634656,0.17319746697097302,0.173197466970973
machine-1-2,0.8747144918073779,0.26991565135895035,0.13372500674975737
machine-1-3,0.7626637320453464,0.15308641975308643,0.05883066472586124
machine-1-4,0.8091934644792876,0.2857142857142857,0.05140348005738743
machine-1-5,0.9021480067854114,0.62453531598513,0.49350735486086594
machine-1-6,0.9123887857779748,0.8812490738370762,0.6456158231584105
machine-1-7,0.8629134175732541,0.18391686160217816,0.18391686160217813
machine-1-8,0.5242444227619288,0.7016267942583732,0.28142572825904527
machine-2-1,0.6884976477690827,0.09416877942774356,0.09416877942774354
machine-2-2,0.5722433954839921,0.21371454435727216,0.21371454435727216
machine-2-3,0.9221712730281684,0.022465341573409053,0.022465341573409056
machine-2-4,0.7528559281741058,0.913953488372093,0.32130151741440577
machine-2-5,0.9046458689202554,0.7044444444444444,0.3054296409096678
machine-2-6,0.8588883405663043,0.6524064171122995,0.40132227431181633
machine-2-7,0.9449917433546606,0.9026733189366296,0.76887630959661
machine-2-8,0.9903178585095334,1.0,0.6111111111111112
machine-2-9,0.9670774366319933,0.11536186156576612,0.11536186156576614
machine-3-1,0.8748498187752172,0.39906103286384975,0.3520225294418843
machine-3-2,0.42070965803969984,0.08947878005486525,0.08947878005486523
machine-3-3,0.7963956069666387,0.6513157894736843,0.05396408330751657
machine-3-4,0.9324200252010395,0.5454545454545454,0.8655079001740498
machine-3-5,0.7769462449995982,0.43080295971499044,0.25188274975079594
machine-3-6,0.9448314552357585,0.9666666666666666,0.15387425551924494
machine-3-7,0.7178532751402414,0.33333333333333337,0.0
machine-3-8,0.8412736783072445,0.5494505494505494,0.20162579433245623
machine-3-9,0.8760963339451433,0.6666666666666666,0.41666666666666663
machine-3-10,0.8870886983620665,0.9185611510791366,0.6127330611077973
machine-3-11,0.8519618819365956,0.888888888888889,0.003236245954692557
